sequence,client_id,source_path,frames,frame_duration_ms,animation_async
1,13701,quadro_de_kunais-horizontal-importado.png,1,,0
2,13702,quadro_de_kunais-vertical-importado.png,1,,0
3,13703,tapete_de_palha1-importado.png,1,,0
4,13704,tapete_de_palha2-importado.png,1,,0
5,13705,tapete_de_palha3-importado.png,1,,0
6,13706,tapete_de_palha4-importado.png,1,,0
7,13707,tapete_de_palha5-importado.png,1,,0
8,13708,tapete_de_palha6-importado.png,1,,0
9,13709,tapete_de_palha7-importado.png,1,,0
10,13710,tapete_de_palha8-importado.png,1,,0
11,13711,tapete_de_palha9-importado.png,1,,0
12,13712,tapete_de_palha10-importado.png,1,,0
13,13713,tapete_de_palha11-importado.png,1,,0
14,13714,tapete_de_palha12-importado.png,1,,0
15,13715,tapete_de_palha13-importado.png,1,,0
16,13716,tapete_de_palha14-importado.png,1,,0
17,13717,tapete_de_palha15-importado.png,1,,0
18,13718,caixa_mesa_de_madeira_horizontal-importado.png,1,,0
19,13719,caixa_mesa_de_madeira_vertical-importado.png,1,,0
20,15658,almofada-importado.png,1,,0
21,15659,cadeira_de_madeira1-importado.png,1,,0
22,15660,cadeira_de_madeira2-importado.png,1,,0
23,18947,mesa_de_madeira1-importado.png,1,,0
24,18948,mesa_de_madeira1.1-importado.png,1,,0
25,18949,mesa_de_madeira_2-importado.png,1,,0
26,18950,mesa_de_madeira_2.2-importado.png,1,,0
