sequence,server_id,client_id,dat_add_flags,dat_remove_flags,otb_add_flags,otb_remove_flags
1,11902,11025,horizontal,vertical,vertical,horizontal
2,15097,14212,vertical,horizontal,horizontal,vertical
3,19428,18543,vertical,horizontal,horizontal,vertical
4,19429,18544,horizontal,vertical,vertical,horizontal
5,19457,18572,vertical,horizontal,horizontal,vertical
6,19458,18573,vertical,horizontal,horizontal,vertical
7,19459,18574,horizontal,vertical,vertical,horizontal
8,19460,18575,horizontal,vertical,vertical,horizontal
9,19466,18581,vertical,horizontal,horizontal,vertical
10,19467,18582,vertical,horizontal,horizontal,vertical
11,19468,18583,horizontal,vertical,vertical,horizontal
12,19469,18584,horizontal,vertical,vertical,horizontal
13,19474,18589,vertical,horizontal,horizontal,vertical
14,19475,18590,vertical,horizontal,horizontal,vertical
15,19476,18591,horizontal,vertical,vertical,horizontal
16,19477,18592,horizontal,vertical,vertical,horizontal
17,19482,18597,vertical,horizontal,horizontal,vertical
18,19483,18598,vertical,horizontal,horizontal,vertical
19,19485,18600,horizontal,vertical,vertical,horizontal
20,20628,19743,vertical,horizontal,horizontal,vertical
21,20631,19746,horizontal,vertical,vertical,horizontal
22,25181,24296,horizontal,vertical,vertical,horizontal
23,25182,24297,vertical,horizontal,horizontal,vertical
24,25183,24298,horizontal,vertical,vertical,horizontal
25,25185,24300,,vertical|horizontal,,vertical|horizontal
26,25186,24301,horizontal,vertical,vertical,horizontal
27,25190,24305,horizontal,vertical,vertical,horizontal
28,25191,24306,horizontal,vertical,vertical,horizontal
