server_id	client_id	map_count	client_mapping_count	empty_dat	name	otb_flags	dat_flags
14576	13699	0	1	0	Sealing table	pickupable|movable|stackable	stackable|pickupable
14577	13700	0	1	0	Ninja stove	pickupable|movable|stackable	stackable|pickupable
14578	12606	0	5	0	Engineering bench	pickupable|movable|stackable	stackable|pickupable
14579	12606	0	5	0	Construction bench	pickupable|movable|stackable	stackable|pickupable
14580	13701	0	1	0		pickupable|movable|stackable	stackable|pickupable
14581	13702	0	1	0		pickupable|movable|stackable	stackable|pickupable
14582	13703	0	1	0		pickupable|movable|stackable	stackable|pickupable
14583	13704	0	1	0		pickupable|movable|stackable	stackable|pickupable
14584	13705	0	1	0		pickupable|movable|stackable	stackable|pickupable
14585	13706	0	1	0		pickupable|movable|stackable	stackable|pickupable
14586	13707	0	1	0		pickupable|movable|stackable	stackable|pickupable
14587	13708	0	1	0		pickupable|movable|stackable	stackable|pickupable
14588	13709	0	1	0		pickupable|movable|stackable	stackable|pickupable
14589	13710	0	1	0		pickupable|movable|stackable	stackable|pickupable
14590	13711	0	1	0		pickupable|movable|stackable	stackable|pickupable
14591	13712	0	1	0		pickupable|movable|stackable	stackable|pickupable
14592	13713	0	1	0		pickupable|movable|stackable	stackable|pickupable
14593	13714	0	1	0		pickupable|movable|stackable	stackable|pickupable
14594	13715	0	1	0		pickupable|movable|stackable	stackable|pickupable
14595	13716	0	1	0		pickupable|movable|stackable	stackable|pickupable
14596	13717	0	1	0		pickupable|movable|stackable	stackable|pickupable
14597	13718	0	1	0		pickupable|movable|stackable	stackable|pickupable
14598	13719	0	1	0		pickupable|movable|stackable	stackable|pickupable
14599	13720	0	1	0		pickupable|movable|stackable	stackable|pickupable
14600	13721	0	1	0		pickupable|movable|stackable	stackable|pickupable
14601	13722	0	1	0		pickupable|movable|stackable	stackable|pickupable
14602	13723	0	1	0		pickupable|movable|stackable	stackable|pickupable
14603	13724	0	1	0		pickupable|movable|stackable	stackable|pickupable
14604	13725	0	1	0		pickupable|movable|stackable	stackable|pickupable
14605	13726	0	1	0		pickupable|movable|stackable	stackable|pickupable
14606	13727	0	1	0		pickupable|movable|stackable	stackable|pickupable
14607	13728	0	1	0		pickupable|movable|stackable	stackable|pickupable
14608	13729	0	1	0		pickupable|movable|stackable	stackable|pickupable
14609	13730	0	1	0		pickupable|movable|stackable	stackable|pickupable
14610	13731	0	1	0		pickupable|movable|stackable	stackable|pickupable
14611	13732	0	1	0		pickupable|movable|stackable	stackable|pickupable
14612	13733	0	1	0		pickupable|movable|stackable	stackable|pickupable
14613	13734	0	1	0		pickupable|movable|stackable	stackable|pickupable
14614	13735	0	1	0		pickupable|movable|stackable	stackable|pickupable
14615	13736	0	1	0		pickupable|movable|stackable	stackable|pickupable
14616	13737	0	1	0		pickupable|movable|stackable	stackable|pickupable
14617	13738	0	1	0		pickupable|movable|stackable	stackable|pickupable
14618	13739	0	1	0		pickupable|movable|stackable	stackable|pickupable
14619	13740	0	1	0		pickupable|movable|stackable	stackable|pickupable
14620	13741	0	1	0		pickupable|movable|stackable	stackable|pickupable
14621	13742	0	1	0		pickupable|movable|stackable	stackable|pickupable
14622	13743	0	1	0		pickupable|movable|stackable	stackable|pickupable
14623	13744	0	1	0		pickupable|movable|stackable	stackable|pickupable
