server_id	client_id	name	otb_flags	dat_flags
14883	14000	Ice ramp	block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
14884	14001	Ramp	has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
14885	14002	Ramp	block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
14886	14003	Ramp	has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
14887	14004	Ramp	block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
14888	14005	Ramp	has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
14889	14006	Ramp	block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
14890	14007	Ramp	has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
14935	14050		has_height|always_on_top|look_through	on_bottom|unmoveable|has_elevation|mini_map|ignore_look
14936	14051		has_height|always_on_top|look_through	on_bottom|unmoveable|has_elevation|mini_map|ignore_look
14958	14073		block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
14959	14074		has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
14960	14075		block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
14961	14076		has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
14962	14077		block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
14963	14078		has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
14964	14079		block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
14965	14080		has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
15794	14909		has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
15795	14910		block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
15796	14911		has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
15797	14912		block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
15798	14913		has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
15799	14914		block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
15800	14915		has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
15801	14916		block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
16254	15369	Ramp	block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
16255	15370	Ramp	has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
16256	15371	Ramp	block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
16257	15372	Ramp	has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
16258	15373	Ramp	block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
16259	15374	Ramp	has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
16260	15375	Ramp	block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
16261	15376		has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
16274	15389	Ramp	block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
16275	15390	Ramp	has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
16276	15391	Ramp	block_pathfind|has_height|always_on_top	on_bottom|unmoveable|block_pathfind|has_elevation|mini_map
16277	15392	Ramp	has_height|always_on_top	on_bottom|unmoveable|has_elevation|mini_map
16462	15577		has_height	ground|unmoveable|has_elevation
16463	15578		has_height	ground|unmoveable|has_elevation
