sequence,server_id,client_id,ground_speed
1,100,100,100
2,101,101,100
3,103,103,100
4,104,104,100
5,106,106,100
6,108,108,100
7,109,109,100
8,194,194,100
9,231,231,100
10,280,280,100
11,293,293,100
12,294,294,100
13,351,351,100
14,352,352,100
15,353,353,100
16,354,354,100
17,355,355,100
18,357,357,100
19,358,358,100
20,359,359,100
21,360,360,100
22,361,361,100
23,362,362,100
24,363,363,100
25,364,364,100
26,365,365,100
27,366,366,100
28,367,367,100
29,368,368,100
30,369,369,100
31,370,370,100
32,371,373,100
33,372,374,100
34,373,375,100
35,374,376,100
36,375,377,100
37,376,378,100
38,377,379,100
39,378,380,100
40,379,381,100
41,380,382,100
42,381,383,100
43,382,384,100
44,383,385,100
45,385,387,100
46,392,394,100
47,405,408,100
48,406,409,100
49,407,410,100
50,408,411,100
51,409,412,100
52,410,413,100
53,411,414,100
54,412,415,100
55,413,416,100
56,414,417,100
57,415,418,100
58,416,419,100
59,417,420,100
60,419,422,100
61,420,423,100
62,423,428,100
63,424,429,100
64,425,430,100
65,426,431,100
66,427,432,100
67,428,433,100
68,429,434,100
69,431,436,100
70,432,437,100
71,433,438,100
72,446,452,100
73,447,453,100
74,448,454,100
75,449,455,100
76,450,456,100
77,451,457,100
78,452,458,100
79,453,459,100
80,454,460,100
81,455,461,100
82,456,462,100
83,457,463,100
84,458,464,100
85,459,469,100
86,460,470,100
87,461,475,100
88,462,476,100
89,464,478,100
90,465,479,100
91,466,480,100
92,467,481,100
93,468,593,100
94,469,594,100
95,470,595,100
96,475,601,100
97,476,600,100
98,479,604,100
99,480,605,100
100,483,608,100
101,484,609,100
102,485,610,100
103,598,727,100
104,599,728,100
105,600,729,100
106,601,730,100
107,670,799,100
108,671,800,100
109,708,837,100
110,709,838,100
111,710,839,100
112,711,840,100
113,724,870,100
114,777,923,100
115,778,924,100
116,779,925,100
117,780,926,100
118,781,927,100
119,782,928,100
120,783,929,100
121,784,930,100
122,785,931,100
123,786,932,100
124,788,934,100
125,789,935,100
126,790,936,100
127,791,937,100
128,804,950,100
129,806,952,100
130,836,982,100
131,918,1127,100
132,919,1128,100
133,920,1152,100
134,965,1210,100
135,968,1213,100
136,970,1215,100
137,971,1216,100
138,973,1218,100
139,977,1222,100
140,978,1223,100
141,981,1226,100
142,983,1228,100
143,984,1229,100
144,986,1231,100
145,990,1235,100
146,991,1236,100
147,994,1239,100
148,996,1241,100
149,997,1242,100
150,999,1244,100
151,1003,1248,100
152,1014,1259,100
153,1015,1260,100
154,1016,1261,100
155,1017,1262,100
156,1018,1263,100
157,1019,1264,100
158,1020,1265,100
159,1021,1266,100
160,1046,1291,100
161,1284,1771,100
162,1509,2144,100
163,3135,482,100
164,3136,483,100
165,3137,484,100
166,3138,485,100
167,3139,486,100
168,3152,499,100
169,3153,500,100
170,3154,501,100
171,3155,502,100
172,3157,504,100
173,3158,505,100
174,3159,506,100
175,3160,507,100
176,3161,508,100
177,3162,509,100
178,3163,510,100
179,3164,511,100
180,3165,512,100
181,3166,513,100
182,3167,514,100
183,3171,518,100
184,3184,531,100
185,3201,548,100
186,3204,551,100
187,3215,562,100
188,3216,563,100
189,3217,564,100
190,3219,566,100
191,3220,567,100
192,3263,1019,100
193,3264,1020,100
194,3265,1021,100
195,3348,1197,100
196,3349,1198,100
197,3351,1200,100
198,3352,1201,100
199,3353,1202,100
200,3354,1203,100
201,3355,1204,100
202,3356,1205,100
203,3360,1209,100
204,3756,2253,100
205,3757,2254,100
206,3762,2259,100
207,3763,2260,100
208,3764,2261,100
209,3765,2262,100
210,4042,3778,100
211,4044,3780,100
212,4045,3781,100
213,4050,3786,100
214,4331,465,100
215,4332,466,100
216,4333,467,100
217,4334,468,100
218,4335,471,100
219,4336,472,100
